產業分類,股票代碼,股票名稱,領域分類,公司特色
智慧駕駛ADASV2X,2317,鴻海,組裝,"全球電子代工龍頭,GB200 AI伺服器主力組裝,蘋果/Dell/HP供應商"
智慧駕駛ADASV2X,2327,國巨*,被動元件,"被動元件龍頭,MLCC車用陶瓷電容,車規級"
智慧駕駛ADASV2X,2329,華泰,PCB,"PCB製造,車用板"
智慧駕駛ADASV2X,2330,台積電,晶圓代工,"全球晶圓代工龍頭,先進製程3/5/7nm,CoWoS/SoIC先進封裝領導者,AI晶片主力"
智慧駕駛ADASV2X,2337,旺宏,記憶體,"NOR Flash車用記憶體,代碼儲存"
智慧駕駛ADASV2X,2344,華邦電,記憶體,"DRAM記憶體,車用DRAM"
智慧駕駛ADASV2X,2353,宏碁,地面設備/組裝,"地面設備與服務,衛星通訊終端"
智慧駕駛ADASV2X,2355,敬鵬,PCB,"PCB製造,車用板"
智慧駕駛ADASV2X,2357,華碩,電腦,"主機板/筆電,ROG電競,AIoT"
智慧駕駛ADASV2X,2367,燿華,PCB,"PCB製造,車用板"
智慧駕駛ADASV2X,2377,微星,主板,"主機板,電競,AIoT"
智慧駕駛ADASV2X,2379,瑞昱,IC設計,"車用網通晶片,WiFi/BT車用方案,V2X通訊"
智慧駕駛ADASV2X,2392,正崴,連接器,"連接器/線材,伺服器高速連接"
智慧駕駛ADASV2X,2401,凌陽,IC設計,"消費性IC,多媒體SoC,家電MCU"
智慧駕駛ADASV2X,2409,友達,面板,"車用面板龍頭,中控顯示,HUD抬頭顯示"
智慧駕駛ADASV2X,2412,中華電,其他,"電信營運商,低軌衛星服務落地,5G整合"
智慧駕駛ADASV2X,2428,興勤,被動元件,"車用電感,繞線電感"
智慧駕駛ADASV2X,2436,偉詮電,IC設計,"車用電源管理IC,電池管理"
智慧駕駛ADASV2X,2454,聯發科,IC設計,"全球第五大IC設計,手機晶片龍頭,AI/車用ASIC布局,天璣/Dimensity處理器"
智慧駕駛ADASV2X,2462,良得電,被動元件,"車用變壓器,電源元件"
智慧駕駛ADASV2X,2497,怡利電,連接器,"車用連接器,高速連接"
智慧駕駛ADASV2X,2498,宏達電,手機,"VR/AR,車用HMI"
智慧駕駛ADASV2X,3014,聯陽,IC設計,車用晶片設計
智慧駕駛ADASV2X,3036,文曄,代理,電子零組件代理
智慧駕駛ADASV2X,3059,華晶科,感測,"CIS影像感測器,車用鏡頭感測,ADAS影像"
智慧駕駛ADASV2X,3094,聯傑,IC設計,USB/車用IC
智慧駕駛ADASV2X,3105,穩懋,晶圓代工,"GaAs砷化鎵晶圓代工龍頭,PA功率放大器,5G/衛星RF"
智慧駕駛ADASV2X,3169,亞信,IC設計,"車用網通晶片,以太網PHY"
智慧駕駛ADASV2X,3213,茂訊,網通,車聯網設備
智慧駕駛ADASV2X,3221,台嘉碩,PCB,"車用PCB,HDI"
智慧駕駛ADASV2X,3227,原相,感測,"CMOS感測器龍頭,車用CIS,ADAS鏡頭晶片"
智慧駕駛ADASV2X,3264,欣銓,測試,車用晶片測試
智慧駕駛ADASV2X,3289,宜特,測試,車用材料分析測試
智慧駕駛ADASV2X,3306,鼎天,PCB,車用PCB
智慧駕駛ADASV2X,3346,麗清,顯示器,"車用顯示器,儀表板"
智慧駕駛ADASV2X,3380,明泰,網通,"車聯網設備,V2X"
智慧駕駛ADASV2X,3419,譁裕,PCB,車用PCB
智慧駕駛ADASV2X,3481,群創,面板,"車用面板,中控觸控"
智慧駕駛ADASV2X,3499,環天科,網通,V2X車聯網通訊
智慧駕駛ADASV2X,3504,揚明光,光學,車用背光模組
智慧駕駛ADASV2X,3535,晶彩科,光學,車用光學膜
智慧駕駛ADASV2X,3552,同致,IC設計,車用觸控IC
智慧駕駛ADASV2X,3665,貿聯-KY,連接器,"高速傳輸線材,AI伺服器線纜,800G線材"
智慧駕駛ADASV2X,3693,營邦,網通,車聯網通訊模組
智慧駕駛ADASV2X,3702,大聯大,代理,電子零組件代理
智慧駕駛ADASV2X,3706,神達,代理,電子零組件代理
智慧駕駛ADASV2X,4523,永彰,PCB,車用PCB
智慧駕駛ADASV2X,4904,遠傳,電信,"車聯網服務,5G V2X"
智慧駕駛ADASV2X,4919,新唐,IC設計,"車用MCU龍頭,馬達控制,ADAS控制器"
智慧駕駛ADASV2X,4971,IET-KY,設備,化合物半導體設備
智慧駕駛ADASV2X,4976,佳凌,網通,車用通訊模組
智慧駕駛ADASV2X,5230,雷笛克光學,光學,"車用光學鏡頭,ADAS鏡頭"
智慧駕駛ADASV2X,5289,宜鼎,儲存,"工規記憶體,車用SSD/DRAM"
智慧駕駛ADASV2X,5351,鈺創,記憶體,車用記憶體IC
智慧駕駛ADASV2X,5388,中磊,網通,"車用網通,車載閘道器"
智慧駕駛ADASV2X,5425,台半,功率元件,"二極體/MOSFET,車用功率元件,TVS保護元件"
智慧駕駛ADASV2X,6129,普誠,化學,特用化學
智慧駕駛ADASV2X,6138,茂達,IC設計,"電源管理IC,LED驅動IC,馬達驅動IC"
智慧駕駛ADASV2X,6202,盛群,IC設計,"車用MCU,馬達控制"
智慧駕駛ADASV2X,6205,詮欣,IC設計,電源管理IC
智慧駕駛ADASV2X,6233,旺玖,連接器,車用連接器
智慧駕駛ADASV2X,6263,普萊德,光學,"車用光學元件,鏡頭"
智慧駕駛ADASV2X,6283,淳安,汽車零組件,車用橡膠零件
智慧駕駛ADASV2X,6285,啟碁,網通,"網路設備,Wi-Fi/5G/低軌衛星路由器"
智慧駕駛ADASV2X,6290,良維,IC設計,車用IC設計
智慧駕駛ADASV2X,6411,晶焱,IC設計,"車用ESD保護IC,TVS"
智慧駕駛ADASV2X,6451,訊芯-KY,IC設計,"車用高速傳輸IC,SerDes"
智慧駕駛ADASV2X,6465,威潤,IC設計,車用電源IC
智慧駕駛ADASV2X,6486,互動,IC設計,車用顯示IC
智慧駕駛ADASV2X,6533,晶心科,IC設計,"RISC-V車用處理器IP核心,自駕運算"
智慧駕駛ADASV2X,8046,南電,IC載板,"IC載板,ABF載板,記憶體載板"
智慧駕駛ADASV2X,8086,宏捷科,IC設計,"GaN氮化鎵功率放大器,5G基站PA,衛星通訊"
智慧駕駛ADASV2X,8255,朋程,材料,"陶瓷基板,散熱基板,功率模組基板"
智慧駕駛ADASV2X,9951,皇田,汽車零組件,"汽車鈑金,車體結構件"
國防產業,2002,中鋼,鋼鐵,"鋼鐵製造,國防用特殊鋼材"
國防產業,2049,上銀,機械,"線性滑軌全球龍頭,精密機械,滾珠螺桿"
國防產業,2208,台船,造船,"軍艦製造,商船,海巡艇,國艦國造主力"
國防產業,2360,致茂,設備,"電源/電池測試設備,半導體測試系統,電動車測試"
國防產業,2634,漢翔,航太,"航太製造龍頭,IDF戰機,無人機,獵風者號衛星"
國防產業,2645,長榮航太,航太,"航太維修,軍機保修,發動機維修"
國防產業,3004,豐達科,光電,"光學元件,軍用光電"
國防產業,3005,神基,電腦,"強固型電腦,軍規筆電/平板,車載電腦"
國防產業,3416,融程電,電腦,"工業電腦,軍工系統"
國防產業,3564,其陽,電子,"電子零組件,軍規連接器"
國防產業,4536,拓凱,材料,"特用化學材料,航太材料"
國防產業,4541,晟田,電子,軍規電子組件
國防產業,4916,事欣科,軟體,軍工軟體系統
國防產業,4971,IET-KY,設備,化合物半導體設備
國防產業,5222,全訊,IC設計,軍用無線通訊IC
國防產業,6245,立端,連接器,"軍規連接器,航太連接器"
國防產業,6416,瑞祺電通,通訊,"無線通訊設備,軍用通訊"
國防產業,6517,保勝光學,光學,"光學鏡頭,軍用光學"
國防產業,6753,龍德造船,造船,"遊艇,特殊船舶,豪華遊艇"
國防產業,8109,博大,材料,特用化學
國防產業,8222,寶一,電子,電子零組件
機器人與智慧機械,1503,士電,馬達,"馬達製造,變頻器,工業馬達"
機器人與智慧機械,1504,東元,馬達,"馬達電機,變頻器,綠能"
機器人與智慧機械,1536,和大,汽車零組件,"汽車傳動系統,電動車齒輪"
機器人與智慧機械,1583,程泰,工具機,"工具機製造,CNC車床"
機器人與智慧機械,1590,亞德客-KY,氣動,"氣動元件全球龍頭,氣缸,電磁閥,自動化控制"
機器人與智慧機械,1597,直得,機械,"滾珠螺桿,工具機零組件"
機器人與智慧機械,2049,上銀,機械,"線性滑軌全球龍頭,精密機械,滾珠螺桿"
機器人與智慧機械,2308,台達電,電源,"電源/散熱方案龍頭,AI伺服器電源供應,資料中心基礎設施"
機器人與智慧機械,2317,鴻海,組裝,"全球電子代工龍頭,GB200 AI伺服器主力組裝,蘋果/Dell/HP供應商"
機器人與智慧機械,2324,仁寶,地面設備/組裝,"地面端接收站設備,主機板,電源供應器"
機器人與智慧機械,2345,智邦,網通,"網通設備,交換器,工業路由器"
機器人與智慧機械,2352,佳世達,地面設備/組裝,"地面基地台主機板,電源供應器,衛星通訊設備組裝"
機器人與智慧機械,2354,鴻準,機構,"精密機構件,iPhone機殼,AI伺服器機構,散熱模組"
機器人與智慧機械,2357,華碩,電腦,"主機板/筆電,ROG電競,AIoT"
機器人與智慧機械,2359,所羅門,視覺,"機器視覺領導廠,AI視覺檢測,3D檢測,協作機器人"
機器人與智慧機械,2360,致茂,設備,"電源/電池測試設備,半導體測試系統,電動車測試"
機器人與智慧機械,2365,昆盈,周邊,"鍵鼠周邊,電競周邊"
機器人與智慧機械,2371,大同,電機,"電機設備,馬達,重電"
機器人與智慧機械,2374,佳能,光電,"光學元件,背光模組"
機器人與智慧機械,2377,微星,主板,"主機板,電競,AIoT"
機器人與智慧機械,2382,廣達,組裝,"AI伺服器組裝龍頭,Google/Meta/Microsoft主力,雲端CSP客戶"
機器人與智慧機械,2395,研華,工業電腦,"工業電腦龍頭,邊緣運算,AIoT平台,智慧製造"
機器人與智慧機械,2458,義隆,IC設計,"觸控IC,指紋辨識"
機器人與智慧機械,2464,盟立,設備,"半導體設備,檢測設備"
機器人與智慧機械,2467,志聖,設備,"晶圓清洗設備,CoWoS製程關鍵設備"
機器人與智慧機械,3003,健和興,汽車零組件,"汽車零組件,車燈"
機器人與智慧機械,3008,大立光,光學,"光學鏡頭全球龍頭,手機鏡頭,車用鏡頭"
機器人與智慧機械,3019,亞光,光學,"光學元件,鏡頭模組"
機器人與智慧機械,3022,威強電,工業電腦,"工業電腦,嵌入式系統,邊緣運算"
機器人與智慧機械,3030,德律,設備,"測試設備,電源測試"
機器人與智慧機械,4562,穎漢,馬達,"步進馬達,伺服馬達"
機器人與智慧機械,4576,大銀微系統,機械,"微型傳動系統,精密齒輪"
機器人與智慧機械,5371,中光電,光電,"光電元件,CIS"
機器人與智慧機械,6166,凌華,工業電腦,"工業電腦,機器人控制器,運動控制"
機器人與智慧機械,6188,廣明,光電,"光電模組,背光"
機器人與智慧機械,8374,羅昇,機械,"自動化設備,輸送帶"
量子電腦,2330,台積電,晶圓代工,"全球晶圓代工龍頭,先進製程3/5/7nm,CoWoS/SoIC先進封裝領導者,AI晶片主力"
量子電腦,3711,日月光投控,封測,"封測雙雄,SiP系統級封裝,Fan-out/CoWoS,蘋果/AMD主力供應商"
量子電腦,2308,台達電,電源,"電源/散熱方案龍頭,AI伺服器電源供應,資料中心基礎設施"
量子電腦,3443,創意,IC設計服務,"台積電子公司,Turn-Key一條龍服務,微軟Maia/Google TPU協力,CoWoS先進封裝"
量子電腦,3661,世芯-KY,IC設計服務,"ASIC設計龍頭,Amazon Trainium/Inferentia主力,聯發科/Amazon入股,HPC占營收97%"
量子電腦,6239,力成,封測,記憶體封測
量子電腦,3037,欣興,IC載板,"ABF載板龍頭,CoWoS基板,AI伺服器/GPU載板主力,市占率40%+"
量子電腦,8046,南電,IC載板,"IC載板,ABF載板,記憶體載板"
量子電腦,3324,雙鴻,散熱,"散熱模組雙雄,AI伺服器液冷/氣冷,Nvidia/Intel認證"
量子電腦,6230,尼得科超眾,散熱,散熱模組
量子電腦,2454,聯發科,IC設計,"全球第五大IC設計,手機晶片龍頭,AI/車用ASIC布局,天璣/Dimensity處理器"
量子電腦,2467,志聖,設備,"晶圓清洗設備,CoWoS製程關鍵設備"
量子電腦,2464,盟立,設備,"半導體設備,檢測設備"
量子電腦,3583,辛耘,設備,"晶圓再生設備,環保再生處理"
量子電腦,3189,景碩,IC載板,"FC-BGA載板,ABF載板,AI/HPC載板"
低軌衛星,2312,金寶,地面設備/組裝,"SpaceX星鏈地面站主機板獨家供應,OneWeb/Kuiper合作,地面接收設備龍頭"
低軌衛星,2313,華通,PCB/基板,"全球衛星PCB產量/產值第一,HDI電路板,低軌衛星板占比10%+"
低軌衛星,2314,台揚,PCB/基板,"Ka波段地面站收發機,戶外型產品,PCB製造"
低軌衛星,2324,金仁寶,地面設備/組裝,"地面端接收站設備,主機板,電源供應器"
低軌衛星,2352,佳世達,地面設備/組裝,"地面基地台主機板,電源供應器,衛星通訊設備組裝"
低軌衛星,2353,宏碁,地面設備/組裝,"地面設備與服務,衛星通訊終端"
低軌衛星,2383,台光電,PCB材料,"全球最大無鹵素CCL廠,AI伺服器M8/M9高階材料龍頭,Nvidia/AWS獨家供應,市占率80%+"
低軌衛星,2412,中華電,其他,"電信營運商,低軌衛星服務落地,5G整合"
低軌衛星,2454,聯發科,IC設計,"全球第五大IC設計,手機晶片龍頭,AI/車用ASIC布局,天璣/Dimensity處理器"
低軌衛星,2634,漢翔,航太,"航太製造龍頭,IDF戰機,無人機,獵風者號衛星"
低軌衛星,3062,建漢,地面設備/組裝,"室內型地面接收站,鴻海集團,與台揚互補"
低軌衛星,3105,穩懋,晶圓代工,"GaAs砷化鎵晶圓代工龍頭,PA功率放大器,5G/衛星RF"
低軌衛星,3138,耀登,天線/射頻,"射頻模組,Wifi/5G RF,衛星通訊射頻單元"
低軌衛星,3305,昇貿,PCB/基板,"SpaceX錫膏供應商,HDI/IC載板,衛星用PCB"
低軌衛星,3491,昇達科,天線/射頻,"衛星天線龍頭,Gateway多工器,地面站天線,OAM模組天線"
低軌衛星,6271,同欣電,天線/射頻,"RF射頻模組,5G/衛星通訊模組"
低軌衛星,6285,啟碁,網通,"網路設備,Wi-Fi/5G/低軌衛星路由器"
金融保險,2881,富邦金,金控,"金控獲利龍頭,壽險/銀行/證券,市值最大金控,2024 EPS預估10.5元"
金融保險,2882,國泰金,金控,"壽險龍頭,人壽/銀行/證券,存股熱門,2024殖利率6%"
金融保險,2883,開發金,金控,"證券業務為主,凱基證券/中壽,2024 EPS預估2元"
金融保險,2884,玉山金,金控,"純銀行金控,信用卡業務強,高配息率79.75%"
金融保險,2885,元大金,金控,"證券龍頭,元大證券/銀行,高股息ETF發行商"
金融保險,2886,兆豐金,金控,"官股金控,海外獲利強,穩健經營"
金融保險,2887,台新金,金控,"信用卡市占第一,Richart數位銀行,2025與新光金合併"
金融保險,2888,新光金,金控,"壽險/銀行,2025與台新金合併"
金融保險,2889,國票金,金控,"證券業務,票券金融"
金融保險,2890,永豐金,金控,"證券業務強,永豐銀行/金證券"
金融保險,2891,中信金,金控,"中信銀/台壽,2024殖利率6%,存股熱門"
金融保險,2892,第一金,金控,"官股金控,第一銀行,穩健配息"
金融保險,5880,合庫金,金控,"官股金控,合作金庫銀行,高配息率79.37%"
金融保險,2801,彰銀,銀行,"區域型銀行,中部地區為主"
金融保險,2812,台中銀,銀行,"區域型銀行,中部市場"
金融保險,2834,臺企銀,銀行,"中小企業金融,政府持股"
金融保險,2836,高雄銀,銀行,"區域型銀行,南部市場"
